Nº Projeto;Nome Projeto;Unidade;Município;Nome do Indicador;Tipo de Agregacao;Meta100;Meta300;Meta500;RESULTADO CICLO;RESULTADO PREVISTO;META CICLO;Meta Ano 
880;Plano de Relacionamento - EST;Sul;Esteio;Número de voluntários;Último Valor;10;12;14;17;17;500;500
882;Plano de Relacionamento CAP;Sul;Capivari de Baixo;% satisfação em pesquisa;Último Valor;64;80;95;96;96;500;500
882;Plano de Relacionamento CAP;Sul;Capivari de Baixo;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;5;5;500;500
882;Plano de Relacionamento CAP;Sul;Capivari de Baixo;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;600;600;500;500
882;Plano de Relacionamento CAP;Sul;Capivari de Baixo;Número de voluntários;Último Valor;7;8;9;12;12;500;500
883;Regenera RS;Sul;Esteio;% Frequência da turma;Último Valor;75;90;100;55;55;0;0
883;Regenera RS;Sul;Esteio;Horas de formações presenciais ao longo do projeto;Acumular;8;24;48;6;6;0;0
883;Regenera RS;Sul;Esteio;% Evasão da turma;Último Valor;25;15;10;45;45;500;500
883;Regenera RS;Sul;Esteio;Número de mulheres beneficiárias;Último Valor;90;115;140;93;93;124;124
885;Plano de Relacionamento ITJ;Sul;Itajaí;% satisfação em pesquisa;Último Valor;64;80;95;98;98;500;500
885;Plano de Relacionamento ITJ;Sul;Itajaí;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;4;4;500;500
885;Plano de Relacionamento ITJ;Sul;Itajaí;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;22;22;500;500
885;Plano de Relacionamento ITJ;Sul;Itajaí;Número de voluntários;Último Valor;4;5;6;6;6;500;500
886;Plano de Relacionamento VRA;Sul;Vidal Ramos;% satisfação em pesquisa;Último Valor;64;80;95;99;99;500;500
886;Plano de Relacionamento VRA;Sul;Vidal Ramos;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;8;8;500;500
886;Plano de Relacionamento VRA;Sul;Vidal Ramos;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;70;70;500;500
886;Plano de Relacionamento VRA;Sul;Vidal Ramos;Número de voluntários;Último Valor;15;18;22;13;13;0;0
887;Plano de Relacionamento RBR;Sul;Rio Branco do Sul;% satisfação em pesquisa;Último Valor;64;80;95;93;93;473;473
887;Plano de Relacionamento RBR;Sul;Rio Branco do Sul;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;2;8;8;500;500
887;Plano de Relacionamento RBR;Sul;Rio Branco do Sul;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;62;62;500;500
887;Plano de Relacionamento RBR;Sul;Rio Branco do Sul;Número de voluntários;Último Valor;70;84;98;32;32;0;0
888;Plano de Relacionamento ITA;Sul;Itaperuçu;% satisfação em pesquisa;Último Valor;64;80;95;0;0;0;0
888;Plano de Relacionamento ITA;Sul;Itaperuçu;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;4;4;500;500
888;Plano de Relacionamento ITA;Sul;Itaperuçu;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;250;250;500;500
888;Plano de Relacionamento ITA;Sul;Itaperuçu;Número de voluntários;Último Valor;2;2;3;6;6;500;500
890;Valor VC - CDRU;Sul;Itaperuçu;Novos parceiros comerciais ;Último Valor;2;3;4;0;0;0;0
890;Valor VC - CDRU;Sul;Itaperuçu;Número de mulheres beneficiárias;Último Valor;6;8;10;0;0;0;0
890;Valor VC - CDRU;Sul;Itaperuçu;Número de pessoas capacitadas;Último Valor;12;18;24;0;0;0;0
891;Plano de relacionamento EGX;Sul;Curitiba;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;4;8;12;3;3;0;0
891;Plano de relacionamento EGX;Sul;Curitiba;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;32;40;48;60;60;500;500
891;Plano de relacionamento EGX;Sul;Curitiba;Número de voluntários;Último Valor;18;21;25;6;6;0;0
892;Plano de Relacionamento - CDs Sul;Sul;N/A;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;5;10;15;0;0;0;0
892;Plano de Relacionamento - CDs Sul;Sul;N/A;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;40;50;60;0;0;0;0
892;Plano de Relacionamento - CDs Sul;Sul;N/A;Número de voluntários;Último Valor;5;6;7;0;0;0;0
893;Evoluir Pocket_ Sobradinho;Centro-Norte;N/A;% Frequência da turma;Último Valor;75;85;95;0;0;0;0
893;Evoluir Pocket_ Sobradinho;Centro-Norte;N/A;% Evasão da turma;Último Valor;12;10;8;0;0;0;0
893;Evoluir Pocket_ Sobradinho;Centro-Norte;N/A;Número de formados;Último Valor;12;14;18;0;0;0;0
894;Plano de Relacionamento - Porto Velho;Centro-Norte;N/A;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;4;4;500;500
894;Plano de Relacionamento - Porto Velho;Centro-Norte;N/A;Número de voluntários;Último Valor;5;6;8;7;7;400;400
896;Plano de Relacionamento IMB;Sul;Imbituba;% satisfação em pesquisa;Último Valor;64;80;95;99;99;500;500
896;Plano de Relacionamento IMB;Sul;Imbituba;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;6;6;500;500
896;Plano de Relacionamento IMB;Sul;Imbituba;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;300;300;500;500
896;Plano de Relacionamento IMB;Sul;Imbituba;Número de voluntários;Último Valor;52;63;73;14;14;500;500
604;ReDes Incubação - Pesca - São Félix/BA (Fazenda Pilar);Pedra do Cavalo;São Félix;Evolução na Régua de maturidade;Último Valor;2;3;4;0;3;0;300
605;ReDes Incubação - Pesca - Maragogipe/BA (Enseada);Pedra do Cavalo;Maragogipe;Evolução na Régua de maturidade;Último Valor;2;3;4;0;3;0;300
1019;Curso de Informática Básica;Nordeste;Laranjeiras;Alunos participantes;Acumular;30;60;90;0;0;0;0
1019;Curso de Informática Básica;Nordeste;Laranjeiras;Evasão;Média Simples;20;10;5;0;0;0;0
1020;Evoluir - Primavera;Nordeste;Primavera;Engajamento;Último Valor;40;50;65;0;0;0;0
1020;Evoluir - Primavera;Nordeste;Primavera;Evazão;Último Valor;15;5;0;0;0;0;0
1020;Evoluir - Primavera;Nordeste;Primavera;Formatura;Último Valor;40;50;65;0;0;0;0
1022;Evoluir  São Luís;Nordeste;São Luís;% Frequência da turma;Último Valor;60;80;100;0;0;0;0
1022;Evoluir  São Luís;Nordeste;São Luís;% Evasão da turma;Último Valor;5;3;0;0;0;0;0
1022;Evoluir  São Luís;Nordeste;São Luís;Número de formados;Último Valor;5;6;9;0;0;0;0
1022;Evoluir  São Luís;Nordeste;São Luís;Número de mulheres formadas;Último Valor;5;6;7;0;0;0;0
1021;Evoluir - Camaçari;Nordeste;Camaçari;% Frequência da turma;Último Valor;60;80;90;0;0;0;0
1021;Evoluir - Camaçari;Nordeste;Camaçari;% Evasão da turma;Último Valor;5;3;0;0;0;0;0
1021;Evoluir - Camaçari;Nordeste;Camaçari;Número de formados;Último Valor;5;8;10;0;0;0;0
1021;Evoluir - Camaçari;Nordeste;Camaçari;Contratados pela VC;Último Valor;1;2;3;0;0;0;0
1023;Evoluir Sobral;Nordeste;Sobral;% Frequência da turma;Último Valor;60;80;90;0;0;0;0
1023;Evoluir Sobral;Nordeste;Sobral;% Evasão da turma;Último Valor;5;3;0;0;0;0;0
1023;Evoluir Sobral;Nordeste;Sobral;Contratados pela VC;Último Valor;1;1;2;3;3;500;500
1023;Evoluir Sobral;Nordeste;Sobral;Número de formados;Último Valor;5;8;9;0;0;0;0
1023;Evoluir Sobral;Nordeste;Sobral;Número de mulheres formadas;Último Valor;5;6;7;0;0;0;0
1031;Plano de Relacionamento - Pecém;Nordeste;Caucaia;% satisfação em pesquisa;Último Valor;75;85;95;0;0;0;0
1031;Plano de Relacionamento - Pecém;Nordeste;Caucaia;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;0;0;0;0
1031;Plano de Relacionamento - Pecém;Nordeste;Caucaia;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;0;0;0;0
1031;Plano de Relacionamento - Pecém;Nordeste;Caucaia;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;1;2;3;0;0;0;0
1031;Plano de Relacionamento - Pecém;Nordeste;Caucaia;Número de voluntários;Último Valor;1;2;3;0;0;0;0
1032;Valor VC Apicultura LAR;Nordeste;Laranjeiras;Novos parceiros comerciais ;Último Valor;1;2;3;0;2;0;300
1032;Valor VC Apicultura LAR;Nordeste;Laranjeiras;Número de pessoas capacitadas;Último Valor;4;5;8;0;1;0;0
1032;Valor VC Apicultura LAR;Nordeste;Laranjeiras;%Incremento de renda;Último Valor;5;10;20;0;0;0;0
